kl_loss_gex,kl_loss_pex,recons_loss_gex,recons_loss_pex,cosine_loss_gex,cosine_loss_pex,adj_loss,spatial_loss,mutual_info_loss,oracle,oracle_self
3.3615377148521475e-10,2.0291400504302004e-10,0.0005792327574454248,2.8107035177526996e-05,0.0008432972826994956,0.0008432973409071565,5.1690058171516284e-06,0.06906154006719589,2.4099786969600245e-05,0.7001085563490028,0.7001085567926304
3.3651750830365756e-10,2.0326103300494225e-10,0.000578678329475224,2.816217420331668e-05,0.0008397046476602554,0.0008397046476602554,5.140755547472509e-06,0.06861354410648346,3.428635318414308e-05,0.7015057078846121,0.7015057204863647
3.368049172891574e-10,2.0353964347297193e-10,0.000576864811591804,2.8371774533297867e-05,0.000840910361148417,0.000840910361148417,5.099953341414221e-06,0.06619627773761749,3.120504698017612e-05,0.7027196769085398,0.702719699564697
3.3699323886970944e-10,2.038432894702069e-10,0.0005767206312157214,2.7974043405265547e-05,0.0008419686346314847,0.0008419686346314847,5.140665052749682e-06,0.06663231551647186,3.256150375818834e-05,0.7031357175468849,0.7031357190529122
3.3725633397097e-10,2.0433141290077117e-10,0.00058000348508358,2.8326059691607952e-05,0.0008443064871244133,0.0008443064871244133,5.134401362738572e-06,0.06469874829053879,3.435531471041031e-05,0.7032238370390097,0.7032238637103239
3.3751623718103474e-10,2.0487440910432753e-10,0.0005810093134641647,2.8335844035609625e-05,0.0008428805158473551,0.0008428805158473551,5.194371624384075e-06,0.06520108133554459,3.665274562081322e-05,0.7029066006005864,0.7029065790149864
3.3780486741186166e-10,2.05312475354269e-10,0.000577638391405344,2.7703044906957075e-05,0.0008410906884819269,0.0008410906884819269,5.145566774444887e-06,0.06545640528202057,4.3791267671622336e-05,0.7024244536132193,0.7024244339619581
3.377853829977795e-10,2.0567963998630034e-10,0.0005780303035862744,2.8059261239832267e-05,0.0008462672703899443,0.0008462672703899443,5.154191967449151e-06,0.06810782104730606,3.234889663872309e-05,0.7023857170275907,0.7023857156577653
3.378644586327084e-10,2.0594757843550582e-10,0.0005786601104773581,2.7637002858682536e-05,0.0008434327901341021,0.0008434327901341021,5.133971626491984e-06,0.06808657944202423,2.043266977125313e-05,0.7026079819609382,0.7026079732264214
3.3777361463371847e-10,2.0606756578889218e-10,0.0005817602504976094,2.7823460186482407e-05,0.0008388630812987685,0.0008388630812987685,5.172509645490209e-06,0.0690375342965126,2.4670149286976084e-05,0.703337330692675,0.7033373328134526
3.376740831395608e-10,2.0604906669774437e-10,0.0005803226958960295,2.8211115932208486e-05,0.0008420466328971088,0.0008420466328971088,5.148690888745477e-06,0.06795855611562729,1.852645982580725e-05,0.7038471858589387,0.7038472110914141
3.376758594964002e-10,2.0581868154234684e-10,0.0005751558928750455,2.8059295800630935e-05,0.0008380004437640309,0.0008380004437640309,5.19758032169193e-06,0.07069732993841171,2.0034278350067325e-05,0.7041032461868684,0.7041031854846685
3.37528782701213e-10,2.054753450719815e-10,0.000580700405407697,2.8092332286178134e-05,0.0008432696340605617,0.0008432695758529007,5.0800595090549905e-06,0.06789547950029373,2.3463038814952597e-05,0.7042387746010933,0.7042387648086839
3.373751555901805e-10,2.0508186815426654e-10,0.0005794118042103946,2.8112661311752163e-05,0.0008398158825002611,0.000839815940707922,5.1881470426451415e-06,0.06986312568187714,2.0923527699778788e-05,0.7041280508224955,0.7041280361631094
3.3720617964583255e-10,2.047464836563151e-10,0.0005794064491055906,2.7896630854229443e-05,0.0008406264241784811,0.0008406264241784811,5.1271540542074945e-06,0.06973931193351746,2.3479467927245423e-05,0.7043636823413345,0.7043636906253532
3.370027590321456e-10,2.0452847748764214e-10,0.0005811125738546252,2.8219308660482056e-05,0.0008399707148782909,0.0008399707730859518,5.204560238780687e-06,0.06707721203565598,2.087734355882276e-05,0.70446032023204,0.7044603108290364
3.3680375155498155e-10,2.0441845438590178e-10,0.0005802224623039365,2.856610262824688e-05,0.0008400952792726457,0.0008400952792726457,5.148799118614988e-06,0.07446806132793427,2.5217746951966546e-05,0.7044067216596603,0.7044067136415383
