kl_loss_gex,kl_loss_pex,recons_loss_gex,recons_loss_pex,cosine_loss_gex,cosine_loss_pex,adj_loss,spatial_loss,mutual_info_loss,oracle,oracle_self
1.73032782546656e-10,1.425226464624174e-10,0.0005663776537403464,3.643101081252098e-05,0.0011352411238476634,0.0011352411238476634,7.2862007982621435e-06,0.09476055204868317,0.0004945184336975217,0.5668497559358566,0.5910322054323619
1.787773123984593e-10,1.4753820387625183e-10,0.0005639551091007888,3.6324141547083855e-05,0.0011399431386962533,0.0011399431386962533,7.257896413648268e-06,0.09565199166536331,0.0004790032107848674,0.5668075001217558,0.5920544368603576
1.845637948028056e-10,1.5269956132879514e-10,0.0005646864301525056,3.5948796721640974e-05,0.001137209008447826,0.001137209008447826,7.18838737157057e-06,0.09251336008310318,0.0004747498605865985,0.5663958691416785,0.5927294714894101
1.9037876830552136e-10,1.5799452024456428e-10,0.0005591491353698075,3.597929753595963e-05,0.0011346356477588415,0.0011346356477588415,7.280856607394526e-06,0.09667303413152695,0.00046966454829089344,0.5678290356838808,0.5946462655413736
1.9637783066350778e-10,1.632855101130204e-10,0.000563967798370868,3.616371031966992e-05,0.0011331681162118912,0.0011331681162118912,7.327076673391275e-06,0.0917942002415657,0.00046184001257643104,0.5696730319851455,0.5966032935480421
2.0262190536524116e-10,1.686466383210572e-10,0.0005615089321509004,3.5782188206212595e-05,0.0011356977047398686,0.0011356975883245468,7.305359758902341e-06,0.09310963749885559,0.00044724586769007146,0.5710976595833109,0.5981655035434928
2.0892550189888226e-10,1.7404669372389492e-10,0.0005587400519289076,3.536498479661532e-05,0.0011329599656164646,0.0011329599656164646,7.386496235994855e-06,0.09265942871570587,0.00044595764484256506,0.5725801697425873,0.5993424651061984
2.1538727745795683e-10,1.7967581589228843e-10,0.0005615453119389713,3.562992060324177e-05,0.0011352741857990623,0.0011352741857990623,7.232152711367235e-06,0.09641088545322418,0.0004375085118226707,0.5736924672081349,0.6003388598704755
2.217245692603953e-10,1.8546905677929715e-10,0.0005602348828688264,3.586872117011808e-05,0.0011326312087476254,0.0011326312087476254,7.30732381271082e-06,0.09602334350347519,0.00042655353900045156,0.574362267472765,0.6009422597614843
2.2814461431153177e-10,1.9132004314137419e-10,0.0005643325857818127,3.614689558162354e-05,0.0011292851995676756,0.0011292851995676756,7.360396466538077e-06,0.09449663758277893,0.00042015823419205844,0.57524349591438,0.6018931825736095
2.3461424469850556e-10,1.970122120997786e-10,0.0005631311796605587,3.59129007847514e-05,0.0011357200564816594,0.0011357200564816594,7.317592462641187e-06,0.09485403448343277,0.0004149640444666147,0.5764762487869564,0.6028947489062185
2.4117022268121957e-10,2.0253006216552905e-10,0.0005600801086984575,3.600971831474453e-05,0.001128682168200612,0.001128682168200612,7.313051355595235e-06,0.10256348550319672,0.0004092926101293415,0.5769696920673849,0.6035177556914733
2.475899762988121e-10,2.0782002507768738e-10,0.0005621341988444328,3.549532266333699e-05,0.0011289167450740933,0.0011289167450740933,7.295130671991501e-06,0.0909729078412056,0.0004127938882447779,0.577552191066326,0.6038617655376104
2.5398358416417466e-10,2.133126036918398e-10,0.0005608130595646799,3.555131843313575e-05,0.0011266835499554873,0.0011266835499554873,7.299389380932553e-06,0.09221278876066208,0.00038992828922346234,0.5776946232203103,0.6038633762002955
2.603034177095509e-10,2.189985276457307e-10,0.0005583464517258108,3.5045781260123476e-05,0.0011182398302480578,0.0011182398302480578,7.3144065027008764e-06,0.09537602961063385,0.0003969594254158437,0.5775306409593938,0.6037793448159313
2.667696619162996e-10,2.2492674389695821e-10,0.0005602561868727207,3.5473465686663985e-05,0.0011190961813554168,0.0011190961813554168,7.298086984519614e-06,0.08962558209896088,0.0003912220417987555,0.5779153597826535,0.6036311152786568
2.733522852516046e-10,2.3088175815644263e-10,0.0005556211108341813,3.553088026819751e-05,0.0011158206034451723,0.0011158206034451723,7.262763574544806e-06,0.0934533178806305,0.00037576426984742284,0.5780168354409588,0.6035249468008631
2.8005717189749646e-10,2.3675811311463235e-10,0.0005620334413833916,3.5477743949741125e-05,0.0011152711231261492,0.0011152710067108274,7.338838258874603e-06,0.0943261981010437,0.0003912584506906569,0.5791915498297454,0.6039905508246989
2.868517090526268e-10,2.425254719273795e-10,0.0005607852945104241,3.5444558307062835e-05,0.0011188763892278075,0.0011188765056431293,7.305417057068553e-06,0.09082765132188797,0.00036866695154458284,0.5801127621216424,0.6044821235785033
2.935147125349147e-10,2.480091687573349e-10,0.0005585170001722872,3.537261363817379e-05,0.0011149129131808877,0.0011149129131808877,7.207487215055153e-06,0.09342186897993088,0.0003806772001553327,0.5816465080051597,0.6051704736807066
3.0029345676751973e-10,2.534100707052289e-10,0.0005630956729874015,3.560745972208679e-05,0.0011169586796313524,0.0011169586796313524,7.328261290240334e-06,0.09480935335159302,0.0003674888866953552,0.5831995243161512,0.6058874685229825
3.070077803091209e-10,2.5857874175194695e-10,0.0005610270891338587,3.519294114084914e-05,0.0011144299060106277,0.0011144299060106277,7.2572302087792195e-06,0.09590929746627808,0.0003617072943598032,0.58475690237931,0.6066783619703121
3.138808934988191e-10,2.641262486502427e-10,0.0005570061621256173,3.509183443384245e-05,0.0011105939047411084,0.0011105939047411084,7.319828000618145e-06,0.09231694787740707,0.00036192560219205916,0.5866173897275182,0.6074059178437635
3.204715104399014e-10,2.696212975106249e-10,0.0005590826622210443,3.51000162481796e-05,0.0011101007694378495,0.0011101007694378495,7.255986474774545e-06,0.09521937370300293,0.00037721541593782604,0.5880489139307498,0.6075518025382441
3.2686592321695684e-10,2.7504254429544517e-10,0.0005571177462115884,3.515233038342558e-05,0.0011164755560457706,0.0011164755560457706,7.31363388695172e-06,0.09106561541557312,0.0003557384479790926,0.5894643343751199,0.6076316111015523
3.331916409443636e-10,2.8036406529707847e-10,0.0005541349528357387,3.476479105302133e-05,0.0011088707251474261,0.0011088707251474261,7.292057944141561e-06,0.09453532099723816,0.0003774595388676971,0.5906498708639698,0.6074990209080633
3.394737269069026e-10,2.854957659170765e-10,0.0005562622682191432,3.4793800296029076e-05,0.001111024059355259,0.001111024059355259,7.218627615657169e-06,0.09397685527801514,0.0003619362832978368,0.591453463025236,0.6072214812842099
